 Pdf No.,Links,Name of Ageement,Economies,Year entered into force,Competent authorities,Level of Recognition,Agreement text,PDF Link,Updated,Occupations
73,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6867c4fee067a49bef6?ref=view_12_page%3D1%26view_12_per_page%3D500,ASEAN Mutual Recognition Arrangement on Dental Practitioners,"Brunei Darussalam, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, Vietnam",2008,"ASEAN Joint Coordinating Committee on Dental Practitioners (AJCCD), Brunei Medical Board; Application details, Cambodian Dental Council and Ministry of Health, Indonesian Medical Council and Ministry of Health, Lao Ministry of Health, Malaysian Dental Council, Myanmar Dental Council, Ministry of Health, Professional Regulation Commission, Board of Dentistry and Philippine Dental Association, Singapore Dental Council and Dental Specialists Accreditation Board, Thailand Dental Council and Ministry of Public Health, Vietnam Ministry of Health",Partial,Available,https://asean.org/asean-economic-community/sectoral-bodies-under-the-purview-of-aem/services/healthcare-services/dental-practitioners-ajccd/,06/10/2021,Dental Practitioners
74,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6877c4fee067a49bf3f?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between the American Dental Association’s Commission of Dental Accreditation (CODA) and Commission on Dental Accreditation of Canada (CDAC),"United States, Canada",NA,"American Dental Association's Commission on Dental Accreditation (CODA); Application details, Commission on Dental Accreditation of Canada (CDAC); Application details",Partial,No,NA,06/08/2021,Dental Practitioners
75,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6867c4fee067a49bf22?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocity Agreement between the Commission on Dental Accreditation of Canada and the Dental Council of Ireland,"Ireland, Canada",2012,"National Dental Examining Board of Canada (NDEB); Application details, Commission on Dental Accreditation of Canada (CDAC); Application details, Dental Council of Ireland; Application details",Partial,No,NA,06/08/2021,Dental Practitioners
76,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60c06d8554add0001e9548d1?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between the Commission on Dental Accreditation of Canada and the Australian Dental Council,"Canada, Australia",2010,"Commission on Dental Accreditation of Canada (CDAC); Application details, Australian Dental Council (ADC); Application details",Partial,No,NA,06/17/2021,Dental Practitioners
77,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6867c4fee067a49bf0e?ref=view_12_page%3D1%26view_12_per_page%3D500,Memorandum of Understanding between Japan PE/FE Examiners Council (JPEC) and Mississippi Board of Licensure for Professional Engineers and Surveyors (MSBLPES),"United States, Japan",2015,"Mississippi Board of Licensure for Professional Engineers and Surveyors; Application details, The Japan PE/FE Examiners Council (JPEC); Application details",Partial,Available here,https://www.pepls.ms.gov/sites/pepls/files/PEPLS%202020/Forms/MS-JPEC%20MOU_April%201%202015%20SIGNED.pdf,06/08/2021,Engineers
78,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f99b42e36bdcc001a7d2151?ref=view_12_page%3D1%26view_12_per_page%3D500,"Agreement on mutual recognition of registered/licensed engineers between the Republic of Korea and the State of Texas, United States of America ","United States, Republic of Korea",2016,"Korean Professional Engineers Association (KPEA); Application details, Texas Board of Professional Engineers and Land Surveyors; Application details",Temporary,Available,https://www.kpea.or.kr/kpea/english/Mutual_Recognition_Agreement.html#1,06/09/2021,Engineers
79,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6867c4fee067a49bf12?ref=view_12_page%3D1%26view_12_per_page%3D500,"Memorandum of Understanding between the Texas Board of Professional Examiners, the North Carolina Board of Examiners for Engineers and Surveyors, the Kentucky Board of Engineers and Land Surveyors, and The Japan PE/FE Examiners Council","United States, Japan",2013,"Texas Board of Professional Engineers and Land Surveyors; Application details, North Carolina Board of Examiners for Engineers and Surveyors - Application details 1 (Professional Engineers); Application details 2 (Professional land surveyors), Kentucky Board of Engineers and Land Surveyors; Application details, The Japan PE/FE Examiners Council (JPEC); Application details",Temporary,No,NA,06/09/2021,Engineers
80,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2c8e?ref=view_12_page%3D1%26view_12_per_page%3D500,ASEAN Mutual Recognition Arrangement on Engineering Services,"Brunei Darussalam, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, Vietnam",2005,"ASEAN Chartered Professional Engineer Coordinating Committee (ACPECC), Brunei Darussalam Board of Architects, Professional Engineers and Quantity Surveyors (BAPEQS); Application details 1; Application details 2, Board of Engineers, Cambodia; Application details, Indonesia Monitoring Committee (IMC - Engineering Services); Application details, Lao Ministry of Public Works and Transport (Council of Lao Architects and Engineers); Application details, Board of Engineers, Malaysia;  Application details, Myanmar Engineering Council; Application details, Professional Regulation Commission of the Philippines; Application details, The Professional Engineers Board Singapore (PEB); Application details, The Council of Engineers, Thailand; Application details, Ministry of Construction, Vietnam; Application details",Partial,Available,https://www.parliament.go.th/aseanrelated_law/files/file_20170704112103_txtattactEN_.pdf,06/10/2021,Engineers
81,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6867c4fee067a49bf14?ref=view_12_page%3D1%26view_12_per_page%3D500,Memorandum of Agreement between the North Carolina Board of Examiners for Engineers and Surveyors and the Professional Engineers Board of the Commonwealth of the Bahamas,"United States, The Bahamas",2012,"North Carolina Board of Examiners for Engineers and Surveyors; Application details 1; Application details 2, Professional Engineers Board of the Commonwealth of the Bahamas; Application details (left column)",Partial,No,NA,06/17/2021,Engineers
82,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f99b3d736bdcc001a7d214a?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between the Texas Board of Professional Engineers and Engineers Australia,"Australia, United States",NA,"Texas Board of Professional Engineers and Land Surveyors; Application details, Engineers Australia; Application details",Temporary,No,NA,06/18/2021,Engineers
83,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60631504121541001b5292fe?ref=view_12_page%3D1%26view_12_per_page%3D500,Agreement for International Engineering Technicians,"Australia, Canada, Ireland, New Zealand, South Africa, United Kingdom",2016,"International Engineering Alliance, Canadian Council of Technicians and Technologists (CCTT); Application details, Engineers Australia; Application details, Engineering New Zealand (ENZ); Application details, Institution of Engineers of Ireland (or Engineers Ireland); Application details, Engineering Council of South Africa (ECSA); Application details, Engineering Council of the United Kingdom (ECUK); Application details",Partial,Available,https://www.ieagreements.org/assets/Uploads/Documents/Competence-Agreements-November-2020-Version-1-Approved.pdf,06/18/2021,Engineers
84,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f99b40436bdcc001a7d214d?ref=view_12_page%3D1%26view_12_per_page%3D500,"Mutual Recognition Agreement between the Ministry of Science, ICT and Future Planning of the Republic of Korea and Engineers Australia","Australia, Republic of Korea",2015,"Ministry of Science and ICT of the Republic of Korea; Korean Professional Engineers Association (KPEA); Application details, Engineers Australia; Application details",Automatic,Available,https://www.kpea.or.kr/kpea/english/Mutual_Recognition_Agreement.html#1,06/17/2021,Engineers
85,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f99b38d0b110100151d3b13?ref=view_12_page%3D1%26view_12_per_page%3D500,A Bilateral Framework to Facilitate Mobility for Mutual Recognition of Registered/Licensed Engineers,"Australia, Japan",2016,"Ministry of Education, Culture, Sports, Science and Technology (MEXT), Institution of Professional Engineers, Japan (IPEJ), Engineers Australia; Application details",Automatic,Available,https://www.engineer.or.jp/c_cmt/kokusai/topics/006/attached/attach_6941_1.pdf,06/18/2021,Engineers
86,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbe4b42f6ed1001e9f849a?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineers Australia and The Institution of Engineers Sri Lanka,"Australia, Sri Lanka",NA,"Engineers Australia; Application details , The Institution of Engineers Sri Lanka (IESL); Application details",Automatic,No,NA,06/18/2021,Engineers
87,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbef648167b9001e0a0fba?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineers Australia and The Royal Aeronautical Society (UK),"Australia, United Kingdom",NA,"Engineers Australia; Application details, The Royal Aeronautical Society (RAeS); Application details",Automatic,No,NA,06/18/2021,Engineers
88,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbefc32f6ed1001e9f8cd1?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineers Australia and The Royal Institution of Naval Architects (UK),"Australia, United Kingdom",NA,"Engineers Australia; Application details, The Royal Institution of Naval Architects(RINA); Application details",Automatic,No,NA,06/18/2021,Engineers
89,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbef928167b9001e0a0fd2?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineers Australia and The Institution of Structural Engineers (UK),"Australia, United Kingdom",NA,"Engineers Australia; Application details, The Institution of Structural Engineers (IStructE); Application details",Automatic,No,NA,06/18/2021,Engineers
90,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbf9a48167b9001e0a160d?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineers Australia and The Institution of Engineering and Technology (UK),"Australia, United Kingdom",NA,"Engineers Australia; Application details , The Institution of Engineering and Technology (IET); Application details",Automatic,No,NA,06/18/2021,Engineers
91,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60ca99d4fbcaad001ef585c2?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineering New Zealand and The Engineering Council (UK),"United Kingdom, New Zealand",2012,"Engineering New Zealand; Application details, Administered in the UK by multiple professional engineering institutions",Automatic,No,NA,06/18/2021,Engineers
92,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbe3962f6ed1001e9f83f1?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineers Australia and The American Society of Mechanical Engineers,"Australia, United States",NA,"Engineers Australia; Application details , The American Society of Mechanical Engineers (ASME); Application details",Automatic,No,NA,06/18/2021,Engineers
93,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbee8d2f6ed1001e9f8c08?ref=view_12_page%3D1%26view_12_per_page%3D500,"Mutual Recognition Agreement Between Engineers Australia and The Institution of Marine Engineering, Science and Technology (UK)","Australia, United Kingdom",NA,"Engineers Australia; Application details, The Institution of Marine Engineering, Science and Technology (IMarEST); Application details",Automatic,No,NA,06/18/2021,Engineers
94,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbfb0a8167b9001e0a16f7?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineering New Zealand and The Institution of Mechanical Engineers (UK),"New Zealand, United Kingdom",NA,"Engineering New Zealand; Application details, The Institution of Mechanical Engineers (IMechE); Application details",Automatic,No,NA,06/18/2021,Engineers
95,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbfb6f8167b9001e0a172e?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineering New Zealand and The Institution of Engineering and Technology (UK),"New Zealand, United Kingdom",NA,"Engineering New Zealand; Application details, The Institution of Engineering and Technology (IET); Application details",Automatic,No,NA,06/18/2021,Engineers
96,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbeac14fa4e50020400507?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineers Australia and Engineering New Zealand,"Australia, New Zealand",NA,"Engineers Australia; Application details, Engineering New Zealand; Application details",Automatic,No,NA,06/18/2021,Engineers
97,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbeb6ecffbe5001e90dca2?ref=view_12_page%3D1%26view_12_per_page%3D500,"Mutual Recognition Agreement Between Engineers Australia and The Institution of Engineers, Singapore","Australia, Singapore",NA,"Engineers Australia; Application details, The Institution of Engineers, Singapore (IES); Application details",Automatic,No,NA,06/18/2021,Engineers
98,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbef3e8167b9001e0a0fa3?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineers Australia and The Chartered Institution of Building Engineers (UK),"Australia, United Kingdom",NA,"Engineers Australia; Application details, The Chartered Institution of Building Engineers (CIBSE); Application details",Automatic,No,NA,06/18/2021,Engineers
99,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbef154fa4e500204008a8?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineers Australia and The Institution of Civil Engineers (UK),"Australia, United Kingdom",NA,"Engineers Australia; Application details, The Institution of Civil Engineers (ICE); Application details",Automatic,No,NA,06/18/2021,Engineers
100,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbefe6cffbe5001e90e16a?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineers Australia and The Institution of Mechanical Engineers (UK),"Australia, United Kingdom",NA,"Engineers Australia; Application details, The Institution of Mechanical Engineers (IMechE); Application details",Automatic,No,NA,06/18/2021,Engineers
101,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbeef32f6ed1001e9f8c3b?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineers Australia and The Institution of Chemical Engineers (UK),"Australia, United Kingdom",NA,"Engineers Australia; Application details, The Institution of Chemical Engineers (IChemE); Application details",Automatic,No,NA,06/18/2021,Engineers
102,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbe80f2f6ed1001e9f8795?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineering New Zealand and Engineers Ireland,"New Zealand, Ireland",NA,"Engineering New Zealand (ENZ); Application details, Engineers Ireland; Application details",Automatic,No,NA,06/18/2021,Engineers
103,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbe5178167b9001e09fc90?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Between Engineers Australia and The Institution of Engineers of Ireland,"Australia, Ireland",NA,"Engineers Australia; Application details, Engineers Ireland; Application details",Automatic,No,NA,06/18/2021,Engineers
104,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60cbe5d84fa4e500204001da?ref=view_12_page%3D1%26view_12_per_page%3D500,"Mututal Recognition Agreement Between Engineers Australia and The Institution of Engineers, Malaysia","Australia, Malaysia",2009,"Engineers Australia; Application details , The Institution of Engineers, Malaysia (IEM); Application details",Automatic,No,NA,06/18/2021,Engineers
105,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c3c?ref=view_12_page%3D1%26view_12_per_page%3D500,"Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Institute of Materials, Minerals and Mining (UK)","Hong Kong, China, United Kingdom",2004,"The Hong Kong Institution of Engineers (HKIE); Application details, The Institute of Materials, Minerals and Mining (IOM3); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
106,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c36?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Chartered Institution of Building Services Engineers,"Hong Kong, China, United Kingdom",2004,"The Hong Kong Institution of Engineers (HKIE); Application details, The Chartered Institution of Building Services Engineers (CIBSE); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
107,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c44?ref=view_12_page%3D1%26view_12_per_page%3D500,"Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Institute of Marine Engineering, Science and Technology (UK)","Hong Kong, China, United Kingdom",2006,"The Hong Kong Institution of Engineers (HKIE); Application details, The Institute of Marine Engineering, Science and Technology (IMAREST); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
108,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c2c?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Institution of Engineers of Ireland ,"Ireland, Hong Kong, China",2014,"The Hong Kong Institution of Engineers (HKIE); Application details, Engineers Ireland; Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
109,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c52?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Institution of Fire Engineers (UK),"Hong Kong, China, United Kingdom",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, The Institution of Fire Engineers (IFE); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
110,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c56?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement Between The Hong Kong Institution of Engineers and The Chartered Institution of Highways & Transportation (UK),"Hong Kong, China, United Kingdom",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, The Chartered Institution of Highways & Transportation (CIHT); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
111,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c42?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Royal Institution of Naval Architects (UK),"Hong Kong, China, United Kingdom",2008,"The Hong Kong Institution of Engineers (HKIE); Application details, The Royal Institution of Naval Architects (RINA); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
112,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c2e?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and Engineering New Zealand ,"Hong Kong, China, New Zealand",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, Engineering New Zealand (ENZ); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
113,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c32?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement Between The Hong Kong Institution of Engineers and Institution of Gas Engineers and Managers (UK),"Hong Kong, China, United Kingdom",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, Institution of Gas Engineers and Managers (IGEM); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
114,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c4a?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and the Energy Institute (UK),"Hong Kong, China, United Kingdom",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, Energy Institute (EI); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
115,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c50?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Chartered Institution of Water and Environmental Management (UK),"Hong Kong, China, United Kingdom",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, The Chartered Institution of Water and Environmental Management (CIWEM); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
116,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c3e?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Institution of Engineering and Technology (UK),"Hong Kong, China, United Kingdom",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, The Institution of Engineering and Technology (IET); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
117,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c2a?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement (MRA) between The Hong Kong Institution of Engineers and China Association for Science and Technology,"Hong Kong, China, People's Republic of China",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, China Association for Science and Technology (CAST)",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
118,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c4e?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Society of Operations Engineers (UK),"Hong Kong, China, United Kingdom",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, The Society of Operations Engineers (SOE); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
119,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c3a?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Institution of Chemical Engineers (UK),"Hong Kong, China, United Kingdom",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, The Institution of Chemical Engineers (IChemE); Application details 1; Application details 2",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
120,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c46?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The British Computer Society,"Hong Kong, China, United Kingdom",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, The British Computer Society (BCS); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
121,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c54?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Royal Aeronautical Society,"Hong Kong, China, United Kingdom",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, The Royal Aeronautical Society (RAeS); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
122,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c4c?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between The Hong Kong Institution of Engineers and The Society of Operations Engineers (UK),"Hong Kong, China, United Kingdom",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, The Society of Operations Engineers (SOE); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
123,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c30?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Institution of Civil Engineers (UK),"Hong Kong, China, United Kingdom",2020,"The Hong Kong Institution of Engineers (HKIE); Application details, The Institution of Civil Engineers (ICE); Application details",Automatic,No,NA,06/17/2021,Engineers
124,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c38?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Institution of Mechanical Engineers (UK),"Hong Kong, China, United Kingdom",2016,"The Hong Kong Institution of Engineers (HKIE); Application details, The Institution of Mechanical Engineers (IMechE); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
125,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c26?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and Engineers Australia,"Australia, Hong Kong, China",2009,"The Hong Kong Institution of Engineers (HKIE); Application details, Engineers Australia; Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
126,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c40?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Institution of Engineering and Technology (UK),"Hong Kong, China, United Kingdom",NA,"The Institution of Engineering and Technology (IET); Application details, The Hong Kong Institution of Engineers (HKIE); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/05/2021,Engineers
127,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c48?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and The Institute of Measurement and Control (UK),"Hong Kong, China, United Kingdom",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, The Institute of Measurement and Control (InstMC); Application details",Partial,No,NA,07/05/2021,Engineers
128,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6867c4fee067a49bf24?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual recognition agreement between Engineers Canada and the Accreditation Board for Engineering and Technology,"Canada, United States",NA,"The Accreditation Board for Engineering and Technology (ABET); Accreditation Commissions; Application details 1; Application details 2, Engineers Canada; Canadian Engineering Accreditation Board (CEAB); Application details",Partial,No,NA,07/07/2021,Engineers
129,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c20?ref=view_12_page%3D1%26view_12_per_page%3D500,International Professional Engineers Agreement,"Australia, Canada, Chinese Taipei, Ireland, Hong Kong, China, India, Japan, Republic of Korea, Malaysia, New Zealand, Singapore, South Africa, Sri Lanka, United Kingdom, United States, Pakistan",2013,"International Engineering Alliance (IEA), Engineers Australia; Application details, Engineers Canada; Application details, Chinese Institute of Engineers (CIE), Institution of Engineers of Ireland (or Engineers Ireland); Application details, The Hong Kong Institution of Engineers (HKIE); Application details, Institution of Engineers India (IEI); Application details, Institution of Professional Engineers, Japan (IPEJ); Application details, Korean Professional Engineers Association (KPEA); Application details, Institution of Engineers, Malaysia (IEM); Application details, Engineering New Zealand (ENZ); Application details, The Institution of Engineers, Singapore (IES); Application details, Engineering Council of South Africa (ECSA); Application details, The Institution of Engineers, Sri Lanka (IESL); Application details, Engineering Council of the United Kingdom (ECUK); Application details, National Council of Examiners for Engineering and Surveying (NCEES); Application details 1; Application details 2, Pakistan Engineering Council (PEC); Application details",Partial,Available,https://www.ieagreements.org/assets/Uploads/Documents/Competence-Agreements-November-2020-Version-1-Approved.pdf,07/07/2021,Engineers
130,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c28?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Recognition Agreement between The Hong Kong Institution of Engineers and Engineers Canada,"Hong Kong, China, Canada",NA,"The Hong Kong Institution of Engineers (HKIE); Application details, Engineers Canada; Canadian Engineering Accreditation Board (CEAB); Application details",Partial,Available,https://hkie.org.hk/en/membership/download_mem2/,07/07/2021,Engineers
131,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c24?ref=view_12_page%3D1%26view_12_per_page%3D500,International Engineering Technologists Agreement,"Canada, Hong Kong, China, Ireland, New Zealand, South Africa, United Kingdom, Australia",2001,"International Engineering Alliance, Canadian Council of Technicians and Technologists (CCTT); Application details, The Hong Kong Institution of Engineers (HKIE); Application details, Institution of Engineers of Ireland (or Engineers Ireland); Application details, Engineering New Zealand (ENZ); Application details, Engineering Council of South Africa (ECSA); Application details, Engineering Council of the United Kingdom (ECUK); Application details, Engineers Australia; Application details",Partial,Available,https://www.ieagreements.org/assets/Uploads/Documents/Competence-Agreements-November-2020-Version-1-Approved.pdf,06/18/2021,Engineers
