 Pdf No.,Links,Name of Ageement,Economies,Year entered into force,Competent authorities,Level of Recognition,Agreement text,PDF Link,Updated,Occupations
43,https://aasc.knack.com/mra-inventory#home/view-mra-details2/612eda958bf63d001e02987e?ref=view_12_page%3D1%26view_12_per_page%3D500,"Mutual Recognition Agreement Recommended by Comité Mexicano para la Práctica Internacional de la Contaduría and Instituto Mexicano de Contadores Públicos, A.C. and CPA Canada and US International Qualifications Appraisal Board","Canada, United States, Mexico",2017,"Instituto Mexicano de Contadores Públicos, Chartered Professional Accountants of Canada (CPA Canada); Application details, International Qualifications Appraisal Board (US IQAB, The National Association of State Boards of Accountancy (NASBA); Application details, The American Institute of Certified Public Accountants (AICPA); Application details",Partial,Available,https://nasba.org/blog/2017/12/05/mra-between-impc-cpac-compic-nasba-aicpa/,09/01/2021,Accountants
44,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a602b7d2067ccd2c60?ref=view_12_page%3D1%26view_12_per_page%3D500,"Memorandum of Understanding Recommended by Chartered Professional Accountants of Canada, Chartered Professional Accountants of Bermuda and the US International Qualifications Appraisal Board","Canada, United States, Bermuda",2018,"Chartered Professional Accountants of Canada (CPA Canada); Application details, International Qualifications Appraisal Board (US IQAB, The National Association of State Boards of Accountancy (NASBA); Application details, The American Institute of Certified Public Accountants (AICPA); Application details",Partial,Available,https://nasba.org/app/uploads/2018/12/DOC004.pdf,09/01/2021,Accountants
45,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2c9c?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between The Australian Institue of Actuaries and The Actuarial Society of India,"India, Australia",2004,"Institute of Actuaries of Australia (or The Actuaries Institute); Application details, Actuarial Society of India (or Institute of Actuaries of India); Application details",Automatic,Available here,http://www.actuariesindia.org/downloads/australia.pdf,06/08/2021,Actuaries
46,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6867c4fee067a49bf18?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between The Casualty Actuarial Society (USA) and the Institute and Faculty of Actuaries (UK),"United States, United Kingdom",NA,"Casualty Actuarial Society (CAS); Application details, Institute and Faculty of Actuaries (UK); Application details",Partial ,Available,https://www.actuaries.org.uk/system/files/documents/pdf/ioacas-usamutualrecognitionagreement20050411.pdf,06/08/2021,Actuaries
47,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2c96?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between Institute of Actuaries of Australia and Canadian Institute of Actuaries,"Canada, Australia",2015,"Institute of Actuaries of Australia (or The Actuaries Institute); Application details, Canadian Institute of Actuaries; Application details",Automatic,Available,https://www.cia-ica.ca/docs/default-source/2015/215026e.pdf,06/08/2021,Actuaries
48,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f99b713efac270015e08889?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between the Society of Actuaries in Ireland and the Society of Actuaries ,"Ireland, United States",2004,"Society of Actuaries in Ireland; Application details, Society of Actuaries (USA); Application details",Partial,Available,https://web.actuaries.ie/sites/default/files/page/Membership/soa_mra.pdf,06/08/2021,Actuaries
49,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2c9a?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between The Casualty Actuarial Society (USA) and The Institute of Actuaries of Australia,"United States, Australia",2005,"Casualty Actuarial Society (CAS); Application details, Institute of Actuaries of Australia (or The Actuaries Institute); Application details",Partial,Available,https://www.actuaries.asn.au/Library/Standards/ProfessionalDevelopment/2013/CasualtyActuarialSocietyMRA.pdf,06/08/2021,Actuaries
50,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2c98?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between The Institute of Actuaries of Australia and The Actuarial Society of South Africa ,"Australia, South Africa",2015,"Institute of Actuaries of Australia (or The Actuaries Institute); Application details, Actuarial Society of South Africa; Application details",Partial,Available,https://www.actuaries.asn.au/Library/Standards/ProfessionalDevelopment/2013/ActuarialSocietyOfSouthAfricaMRA.pdf,06/08/2021,Actuaries
51,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6867c4fee067a49bf1a?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between The Casualty Actuarial Society (USA) and the Institute of Actuaries of India,"India, United States",2015,"Casualty Actuarial Society (CAS); Application details, Actuarial Society of India (or Institute of Actuaries of India); Application details",Automatic,Available,http://www.actuariesindia.org/downloads/cas.pdf,06/08/2021,Actuaries
52,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f99b6d40b110100151d3b23?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between The Casualty Society and The Acturial Society of South Africa ,"United States, South Africa",2016,"Casualty Actuarial Society (CAS); Application details, Actuarial Society of South Africa; Application details",Partial,Available,https://www.actuarialsociety.org.za/becoming-an-actuary/membership-admissions/mutual-recognition-agreements-mra/,06/08/2021,Actuaries
53,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2ca2?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between The Institute of Actuaries of Australia and The Society of Actuaries,"Australia, United States",2005,"Institute of Actuaries of Australia (or The Actuaries Institute); Application details, Society of Actuaries (USA); Application details",Automatic,Available,https://www.actuaries.asn.au/Library/Standards/ProfessionalDevelopment/2013/SocietyOfActuariesMRA.pdf,06/08/2021,Actuaries
54,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6867c4fee067a49bf1c?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between The Society of Actuaries (USA) and the Institute and Faculty of Actuaries (UK),"United States, United Kingdom",2015,"Society of Actuaries (USA); Application details, Institute and Faculties of Actuaries (UK); Application details",Automatic,Available,https://www.actuaries.org.uk/system/files/documents/pdf/20150101ifoasoamra.pdf,06/08/2021,Actuaries
55,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2ca0?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between The Institute of Actuaries of Australia and The Institute and Faculties of Actuaries,"Australia, United Kingdom",2014,"Institute of Actuaries of Australia (or The Actuaries Institute); Application details, Institute and Faculties of Actuaries (UK); Application details",Automatic,Available,https://www.actuaries.org.uk/system/files/documents/pdf/actuaries-institutemutualrecognitionagreement02102014.pdf,06/08/2021,Actuaries
56,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2c9e?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between The Institute of Actuaries of Australia and The Actuarial Society of Japan,"Australia, Japan",2005,"Institute of Actuaries of Australia (or The Actuaries Institute); Application details, The Actuarial Society of Japan; Application details",Temporary,Available,https://www.actuaries.asn.au/Library/Standards/ProfessionalDevelopment/2013/InstituteOfActuariesOfJapanMRA.pdf,06/08/2021,Actuaries
57,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2ca4?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between The Institute of Actuaries of Australia and The Society of Actuaries in Ireland,"Ireland, Australia",2006,"Institute of Actuaries of Australia (or The Actuaries Institute); Application details, Society of Actuaries in Ireland; Application details",Partial,Available,https://actuaries.asn.au/Library/Standards/ProfessionalDevelopment/2013/SocietyOfActuariesInIrelandMRA.pdf,06/08/2021,Actuaries
58,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a602b7d2067ccd2c78?ref=view_12_page%3D1%26view_12_per_page%3D500,"Mutual Recognition Arrangement between Australia (AACA), New Zealand (NZRAB) and the United States (NCARB)","Australia, New Zealand, United States",2016,"National Council of Architectural Registration Boards (NCARB); Application details, Architects Accreditation Council of Australia (AACA); Application details, New Zealand Registered Architects Board (NZRAB); Application details",Partial,Available here,https://www.ncarb.org/sites/default/files/2013ncarb-cala_mra.pdf,06/08/2021,Architects
59,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2c7e?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement (MRA) between the National Council of Architectural Registration Boards (NCARB) and the Canadian Architectural Licensing Authorities (CALA),"Canada, United States",2014,"National Council of Architectural Registration Boards (NCARB); Application details, Canadian Architectural Licensing Authorities (CALA); Application details",Automatic,Available,https://www.ncarb.org/sites/default/files/2013ncarb-cala_mra.pdf,06/08/2021,Architects
60,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2c82?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement of Professional Qualifications between The Architects’ Council of Europe (ACE) and The Canadian Architectural Licensing Authorities (CALA),"Canada, Europe",2018,"Architects’ Council of Europe (ACE); Application details, Canadian Architectural Licensing Authorities (CALA); Application details",Partial,Available here,https://www.ace-cae.eu/fileadmin/New_Upload/_14_International/MOUs/ACE-CALA_MRA__180409_v16_FINAL.pdf,06/08/2021,Architects
61,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a602b7d2067ccd2c7c?ref=view_12_page%3D1%26view_12_per_page%3D500,"Tri-National Mutual Recognition Agreement Between Canadian Architectural Licensing Authorities (CALA), the National Council of Architectural Registration Boards (NCARB) and the Federacion de Colegios de Arquitectos de la Republica Mexicana (FCARM) ","Canada, United States, Mexico",2014,"Canadian Architectural Licensing Authorities (CALA), application details, National Council of Architectural Registration Boards (NCARB), application details, Federacion de Colegios de Arquitectos de la Republica Mexicana (FCARM)",Partial,No,NA,06/08/2021,Architects
62,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2c8c?ref=view_12_page%3D1%26view_12_per_page%3D500,ASEAN Mutual Recognition Arrangement on Architectural Services,"Brunei Darussalam, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, Vietnam",2007,"ASEAN Architect Council (AAC), Board of Architects, Professional Engineers and Quantity Surveyors",Partial,Available here,https://asean.org/wp-content/uploads/images/archive/21137.pdf,06/08/2021,Architects
63,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df7f94cd10d18ff2c71?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Professional Qualifications with The Australian Institute of Landscape Architects and The New Zealand Institute of Landscape Architects,"Australia, New Zealand",2018,"The Australian Institute of Landscape Architects; Application details, The New Zealand Institute of Landscape Architects; Application details",Automatic,No,NA,05/17/2021,Architects
64,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a602b7d2067ccd2c76?ref=view_12_page%3D1%26view_12_per_page%3D500,"APEC Architect Mutual Recognition Agreement between Australia, New Zealand, Singapore","Singapore, Australia, New Zealand",2010,"Board of Architects of Singapore; Application details, Architects Accreditation Council of Australia (AACA); Application details, New Zealand Registered Architect Board (NZRAB); Application details",Partial,No,NA,06/17/2021,Architects
65,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2c86?ref=view_12_page%3D1%26view_12_per_page%3D500,APEC Architect Project - Memorandum of Cooperation on Registered/Licensed Architects in Japan and New Zealand,"Japan, New Zealand",2009,"Japan APEC Architect Project Monitoring Committee; Application details, New Zealand Registered Architects Board (NZRAB); Application details",Partial,Available,https://www.apecarchitects.org/assets/uploads/2020/10/Japan_and_New_Zealand_2009.pdf,06/08/2021,Architects
66,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a602b7d2067ccd2c74?ref=view_12_page%3D1%26view_12_per_page%3D500,APEC Architect - Bilateral Agreement on Reciprocal Recognition of Registered/Licensed Architects in Japan and Australia,"Australia, Japan",2008,"Japan APEC Architect Project Monitoring Committee; Application details, Architects Accreditation Council of Australia (AACA); Application details",Partial,Available,https://www.jaeic.or.jp/english/aa-at080710_1-2-1.pdf,06/08/2021,Architects
67,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6867c4fee067a49bf1e?ref=view_12_page%3D1%26view_12_per_page%3D500,Canberra Accord on Architectural Education: Recognition of Substantial Equivalence between Accreditation/Validation Systems in Architectural Education,"Canada, Republic of Korea, Mexico, South Africa, United States, People's Republic of China, Japan, Hong Kong, China, Ghana, Jamaica, Kenya, Namibia, Chinese Taipei",2010,"Canberra Accord on Architectural Education, Commonwealth Association of Architects (CAA), Canadian Architectural Certification Board (CACB-CCCA), Acreditadora Nacional de Programas de Arquitectura y Disciplinas del Espacio Habitable, A.C. (National Accreditor of Architecture Programs and Disciplines of the Habitable Space) (ANPADEH), Mexico, Korea Architectural Accrediting Board (KAAB), National Architectural Accrediting Board (NAAB), United States; Application details, National Board of Architectural Accreditation of China (NBAA), The Hong Kong Institute of Architects (HKIA)/Architects Registration Board (ARB)  , Institute of Engineering Education Taiwan—Architectural Accreditation Commission (IEET-AAC), Chinese Taipei, Japan Accreditation Board for Engineering Education (JABEE), The South African Council for the Architectural Profession (SACAP)",Partial,Available here,http://canberraaccord.org/wp-content/uploads/2019/09/Approved_and_signed_Canberra_Accord.pdf,07/28/2021,Architects
68,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2c80?ref=view_12_page%3D1%26view_12_per_page%3D500," APEC Architect - Trilateral Arrangement on Reciprocal Recognition of Registered/Licensed Architects in Australia, Canada and New Zealand","Australia, Canada, New Zealand",2015,"Australian APEC Architect Project Monitoring Committee, The Architects Accreditation Council of Australia (AACA); Application details, Canadian APEC Architect Project Monitoring Committee, Canadian Architectureal Licensing Authorities (CALA); Application details, New Zealand APEC Architect Project Monitoring Committee, The New Zealand Registered Architects Board (NZRAB); Application details",Partial,Available here,https://www.apecarchitects.org/assets/uploads/2020/10/AU_Canada_NZ_APEC_Archtiect_MRA_Signed.pdf,06/08/2021,Architects
69,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6135b98e0b830400205ec32f?ref=view_12_page%3D1%26view_12_per_page%3D500,Memorandum of Understanding Between Australian Institute of Building and Hong Kong Institute of Construction Managers,"Australia, Hong Kong, China",2018,"Australian Institute of Building; Application details, Hong Kong Institute of Construction Managers",Partial,Available,https://aib.org.au/your-institute/agreements-with-other-organisations/,09/06/2021,Builders and Construction Managers
70,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6135bb28ae5d64001f8679b1?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Membership Agreement between the Australian Institute of Building and the New Zealand Institute of Building,"Australia, New Zealand",NA,"Australian Institute of Building; Application details, New Zealand Institute of Building",Automatic,Not available,NA,09/06/2021,Builders and Construction Managers
71,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6877c4fee067a49bf39?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition of Professional Qualifications for the Roofing Trade in Quebec and the Building and Public Works Waterproofing Trade in France,"Canada, France",2010,"Ministre du Travail, La Commision de la Construction du Québec, Ministre de l’Éducation Nationale, France, L'assemlée Permanente des Chamberes de Métiers",Automatic,Available,https://cdn-contenu.quebec.ca/cdn-contenu/emploi/Entente_Quebec-France/ARM-consolide-couvreurs-MRIF.pdf?1560275213,06/08/2021,Builders and Construction Managers
72,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df7f94cd10d18ff2c86?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between The Dental Council of New Zealand and The Commission on Dental Accreditation of Canada (CDAC),"New Zealand, Canada",2011,"Dental Council of New Zealand (DCNZ); Application details, Commission on Dental Accreditation of Canada (CDAC); Application details",Partial,No,NA,06/08/2021,Dental Practitioners
